 m,M -> b,B
x-axis: "Cosine(p1,p3)Diff. cross section [pb"  from -1.000000 to 1.000000 N_bins= 150
s section [pb]
4.600000E-01 1.113375E+02 +/-  1.283393E+00
4.733333E-01 1.129669E+02 +/-  1.298365E+00
4.866667E-01 1.146139E+02 +/-  1.309391E+00
5.000000E-01 1.161321E+02 +/-  1.316229E+00
5.133333E-01 1.178347E+02 +/-  1.333013E+00
5.266667E-01 1.194687E+02 +/-  1.336806E+00
5.400000E-01 1.211640E+02 +/-  1.351556E+00
5.533333E-01 1.229852E+02 +/-  1.362679E+00
5.666667E-01 1.247156E+02 +/-  1.372044E+00
5.800000E-01 1.264753E+02 +/-  1.388113E+00
5.933333E-01 1.282168E+02 +/-  1.392568E+00
6.066667E-01 1.301007E+02 +/-  1.410486E+00
6.200000E-01 1.319565E+02 +/-  1.416982E+00
6.333333E-01 1.338838E+02 +/-  1.432836E+00
6.466667E-01 1.356875E+02 +/-  1.441949E+00
6.600000E-01 1.376450E+02 +/-  1.455581E+00
6.733333E-01 1.396515E+02 +/-  1.467529E+00
6.866667E-01 1.416228E+02 +/-  1.479053E+00
7.000000E-01 1.436014E+02 +/-  1.490589E+00
7.133333E-01 1.456569E+02 +/-  1.502869E+00
7.266667E-01 1.476903E+02 +/-  1.515227E+00
7.400000E-01 1.498476E+02 +/-  1.529150E+00
7.533333E-01 1.518905E+02 +/-  1.540287E+00
7.666667E-01 1.540148E+02 +/-  1.554590E+00
7.800000E-01 1.563105E+02 +/-  1.566237E+00
7.933333E-01 1.583404E+02 +/-  1.581622E+00
8.066667E-01 1.606728E+02 +/-  1.588774E+00
8.200000E-01 1.628651E+02 +/-  1.606449E+00
8.333333E-01 1.651300E+02 +/-  1.615727E+00
8.466667E-01 1.674264E+02 +/-  1.633429E+00
8.600000E-01 1.697411E+02 +/-  1.645270E+00
8.733333E-01 1.720839E+02 +/-  1.657886E+00
8.866667E-01 1.744211E+02 +/-  1.671512E+00
9.000000E-01 1.769179E+02 +/-  1.683028E+00
9.133333E-01 1.792989E+02 +/-  1.700124E+00
9.266667E-01 1.816925E+02 +/-  1.712898E+00
9.400000E-01 1.842366E+02 +/-  1.725550E+00
9.533333E-01 1.866997E+02 +/-  1.741916E+00
9.666667E-01 1.892250E+02 +/-  1.752618E+00
9.800000E-01 1.917502E+02 +/-  1.771193E+00
9.933333E-01 1.943832E+02 +/-  1.790909E+00
