 m,M -> b,B
x-axis: "Cosine(p1,p3)Diff. cross section [pb"  from -1.000000 to 1.000000 N_bins= 150
s section [pb]
4.600000E-01 1.511922E+00 +/-  2.706127E-02
4.733333E-01 1.528065E+00 +/-  2.730231E-02
4.866667E-01 1.541115E+00 +/-  2.744944E-02
5.000000E-01 1.561268E+00 +/-  2.760602E-02
5.133333E-01 1.573793E+00 +/-  2.781004E-02
5.266667E-01 1.594574E+00 +/-  2.807591E-02
5.400000E-01 1.610695E+00 +/-  2.815990E-02
5.533333E-01 1.628882E+00 +/-  2.841258E-02
5.666667E-01 1.645680E+00 +/-  2.866219E-02
5.800000E-01 1.665780E+00 +/-  2.877703E-02
5.933333E-01 1.684149E+00 +/-  2.902912E-02
6.066667E-01 1.705389E+00 +/-  2.931802E-02
6.200000E-01 1.724616E+00 +/-  2.942662E-02
6.333333E-01 1.743840E+00 +/-  2.969821E-02
6.466667E-01 1.767796E+00 +/-  2.997941E-02
6.600000E-01 1.786253E+00 +/-  3.011277E-02
6.733333E-01 1.807692E+00 +/-  3.041790E-02
6.866667E-01 1.833352E+00 +/-  3.065468E-02
7.000000E-01 1.853064E+00 +/-  3.085265E-02
7.133333E-01 1.877129E+00 +/-  3.118523E-02
7.266667E-01 1.903231E+00 +/-  3.137123E-02
7.400000E-01 1.923850E+00 +/-  3.163731E-02
7.533333E-01 1.949206E+00 +/-  3.194019E-02
7.666667E-01 1.973877E+00 +/-  3.213512E-02
7.800000E-01 2.000666E+00 +/-  3.248144E-02
7.933333E-01 2.024771E+00 +/-  3.267126E-02
8.066667E-01 2.051687E+00 +/-  3.299793E-02
8.200000E-01 2.077867E+00 +/-  3.328766E-02
8.333333E-01 2.105977E+00 +/-  3.353138E-02
8.466667E-01 2.133760E+00 +/-  3.388150E-02
8.600000E-01 2.160672E+00 +/-  3.404999E-02
8.733333E-01 2.188647E+00 +/-  3.442752E-02
8.866667E-01 2.218744E+00 +/-  3.466050E-02
9.000000E-01 2.247024E+00 +/-  3.500459E-02
9.133333E-01 2.276333E+00 +/-  3.528151E-02
9.266667E-01 2.308215E+00 +/-  3.558105E-02
9.400000E-01 2.338377E+00 +/-  3.595999E-02
9.533333E-01 2.368812E+00 +/-  3.618789E-02
9.666667E-01 2.398645E+00 +/-  3.662928E-02
9.800000E-01 2.432638E+00 +/-  3.695186E-02
9.933333E-01 2.465439E+00 +/-  3.744586E-02
